statute_name,statute_description
18 § 5902 §§ B4,Prom Pros-Procure Patron
75 § 3335 §§ A,Fail To Signal
CO § 10818,Firearms in Public
75 § 3305,Pass Left Unsafe
18 § 2902 §§ B2,Unlawful Restraint of Minor/Not Parent - Involuntary Servitude
CO § 10822,Weapons in Buildings
75 § 3701.1 §§ A,Leaving Child Unattended In Vehicle
3 § 459-505-A §§ A1,Dogs Not Validly Registered Under Act
52 § 3322 §§ A,Minining Without A License or Permit or In Violation of Terms of License
18 § 4117 §§ A7,Borrow/Use Another Ins Id
75 § 3712 §§ A,Abandoning Veh On Highway
18 § 4906 §§ A,False Report To Law Enforce Authorities
18 § 5532 §§ A3,Neglect of Animals - Vet Care
75 § 3748,Give False Information
75 § 3362 §§ A1.1-10,Exceed 65 OR 70 MPH For All Vehicles By 10 MPH
75 § 3802 §§ D1ii****,DUI: Controlled Substance - Schedule 2 or 3 - 4th and Subsequent Offense
35 § 780-113 §§ A2,Adulte Misbrand Any Controlled Subst
75 § 1574 §§ A,Permit Unlicensed Dr
CO § 10819,State of Emergency
18 § 5903 §§ A3,Design Obscene/Sexual Materials
72 § 228-A §§ A,Cigarettes / Sales W/Out License
75 § 3332 §§ A,U Turn Unsafely
75 § 3802 §§ F1ii*,DUI: School Vehicle (BAC .02+) 1st Offense
75 § 3362 §§ A3-27,Exceed Max Speed Lim Estb By 27 MPH
30 § 904 §§ A,Interfer W/Ofer Perf Duties
75 § 1786 §§ F,Oper Veh W/O Req'd Financ Resp
18 § 4105 §§ A2,Bad Checks
CO § 10105,Animals-Nuisances
18 § 5511 §§ H.17,Animal Fighting - Knowingly Permit Under Control
18 § 7615 §§ A3,Computer Trespass - Alter Data
18 § 4110,Defraud Secured Creditors
25 ยง 3518,Tampering With Voting Machine
30 § 5503 §§ A,Fail To File Accident Report
75 § 3345 §§ A,Meeting/Overtaking School Bus
18 § 5503 §§ B*,Disorderly Conduct/Grading
18 § 6110,Del Firearm Person Under 18
CO § 99528,BICYCLE REGULATIONS
18 § 3127,Indecent Exposure
30 § 908,False Id or Stmts on Reports
18 ยง 903 ยงยง C,Conspiracy
18 § 6310.3 §§ A,Carry False Identification Card (Minor)
42 § 4132 §§ 1,Contempt - Official Misconduct of Officers of Courts
75 § 4581 §§ A2i,Fail to use safety belt - driver and vehicle occupant
18 § 5503,Disorderly Conduct
75 § 3802 §§ D3*,DUI: Cont Subs - Comb Alc/Drug - 1st Off
30 § 2705 §§ A,Use Improp Lic Or Make False App
18 § 5102 §§ A,Obstruct/Impede Justice-Picketing
18 § 4958 §§ A2i,Intimidates or intends to intimidate person to refrain from reporting
CO § 10610,Skateboarding
18 § 4107 §§ A5,Dec Bus Pract - False/Mis Stat Pub
18 § 3929.1 §§ A,Library Theft
75 § 3802 §§ D2**,DUI: Cont Subs - Imp Ability - 2nd Off
18 § 6105 §§ C6,Person Not To Possess/Use Firearms - Pfa Party
18 § 4106 §§ A1,Credit Card Used To Obt Or Att Obt Prop/Services
75 § 1571 §§ A1,Rec'd Sus'd Fict Alt'd Etc Drivers Lic
75 § 3746 §§ A1,Fail To Not Police Of Accident\ Injury Or Death
35 § 1277 §§ 1,Using Consumer Fireworks
18 § 3930 §§ B2,Convert Trade Secrets
72 § 8273 §§ A,Poss Of Unstamped Cig
75 § 3802 §§ D4***,DUI: Solvent or Nox Substance - 3rd Offense
18 § 2702 §§ A2,Aggravated Assault
CO § 10812,Shopping Carts
75 § 4706 §§ C5,Evidence Of Emission Inspection
75 § 3507 §§ A,Violate Light Regulations
63 § 1211 §§ A,Psychology - License required
18 § 3307 §§ A4,Institut'l Vand'ism Adjacent Ground
18 § 2709 §§ A1,"Harassment/Strike, Shove, Kick, Etc."
18 § 6318 §§ A3,Unlawful Contact With Minor - Prostitution
22 § 47 §§ C,Cert Must Be Carried
3 § 459-502-A §§ A,Harbor/Determ Dangerous Dog
18 § 4112 §§ 1,Rec Deposits Failing Finan Instit
18 § 910 §§ A1I,Make Telecom Device For Theft Of Service
24 § 5353,Hazing
73 § 517.8 §§ A8,Publish False or Deceptive Advertisement
75 § 1543 §§ B1.1III*,BAC .02 or Higher - 4th Off or Sub Off
25 § 3502,Perjury/Election Code
75 § 3342 §§ B,Bus Fail To Stop At Rr Crossing
35 § 780-113 §§ A29,Make Dist Poss Die Punch Plate Etc
18 § 6904,Interfere With Railroad Employees
75 § 3746 §§ A,Fail To Not Police Depart Of Acci
18 § 6710,Unauthorized Use Of Registered Insignia
18 § 3301 §§ E2,Fail To Control/Rpt Dangerous Fire
30 § 5123 §§ A,General Boating Regulations
22 § 49 §§ A,Lethal Weapons Act/ Penalties
25 § 3550,Unlawful Assistance In Voting
CO § 10202,"Ethnic Intim, Vand"
18 § 5104.1 §§ A2,Disarming Law Enforcement Officer - Reasonable Cause
75 § 4306 §§ B,Not Use Low Beam
18 § 3933 §§ A1,Unlawful Use Of Computer-Destroy Data
10 § 907 §§ A,"Individual Prize Limit $2,000"
75 § 3323 §§ A,Intersections Controlled by Signs
18 § 4906.1,False Reports of Child Abuse
18 § 4958 §§ A1,Knowledge or intends to obstruct child abuse report or investigation
18 § 3125 §§ A6,Agg. Ind. Assault - Comp. Suffers Mental Dis.
18 § 3304 §§ A,Criminal Mischief
72 § 9414 §§ 2,Selling Consumer Fireworks in Violation
18 § 2709 §§ B,Stalking
18 § 3307 §§ A1,Institut'l Vand'ism Place Worship
18 § 5543 §§ 3,Animal Fighting - Owns/Possess/Sell Animal for Fighting
18 § 6304 §§ A1,Sell/Transfer Air Rifles-Dealer
25 § 3549,Hindering Performance of Duty
63 § 422.10 §§ 1,Unauth. Practice Medicine/Surgery
75 § 1103.1 §§ A,Contents Of Application
18 § 3301 §§ a.11ii,Aggravated Arson - Person Present Inside Property
18 § 2901 §§ A.13,Kidnapping of Minor - Inflict Bodily Injury
75 § 3508 §§ A,Not To Yield To Pedestrian
18 § 4119 §§ A4,Trademark Counterfeiting - Displays
35 § 780-113 §§ A7,Place Mark Cont Subs W/Int To Defraud
18 § 6316 §§ A,Sell/Furnish Stimulants To Minors
75 § 6309.1,"Impoundment/Vehicles Of 17,000 Lbs Or Less"
63 § 422.10,Unauth Practice Medicine
18 § 2910,Lure Child Into Motor Vehicle
35 § 780-113 §§ A1,Manuf Etc Controlled Substance
18 § 4301 §§ A,Bigamy
75 § 6309.2,Immobilization/Drvg Without Operating Privileges
18 § 5105 §§ A4,Hinder App/Prosec-Warn
75 § 3362 §§ A1-31,Exceed 35 MPH In Urban Dist 31 MPH
18 § 4106 §§ A1II,Access Device Issd To Another Who Did Not Auth Use
18 § 3126 §§ A2,Indec Asslt-Mental Disease/Defect
18 § 6105 §§ C5,Person Not To Possess/Use Firearm - Illegal Alien
35 § 1331.19 §§ A,Violation Of Provisions
75 § 3362 §§ A1-1,Exceed 35 MPH In Urban Dist By 1 MPH
75 § 3313 §§ A,Viol Use Limited Access Hwy
75 § 1332 §§ B3,Obscured Plates - Illegible at Reasonable Distance
18 § 6312 §§ D,Possession of Child Pornography
75 § 4524 §§ B,Obstructed Window
75 § 3362 §§ A1-62,Exceed 35 MPH In Urban Dist By 62 MPH
35 § 1316,Enforcement
75 § 1504 §§ A,Use Improp Class Of Lic
75 § 3802 §§ A1*P,Permitting Violation - DUI: Gen Imp/Inc of Driving Safely - 1st Off
18 § 3125,Aggravated Indecent Assault
75 § 3744 §§ C,Duty Of Pass To Render Aid Report
